Frame Number,Person Count in Crowd
3,3
3,3
3,9
3,3
3,4
4,3
4,3
4,9
4,4
5,3
5,3
5,3
5,7
5,4
6,3
6,3
6,7
6,3
6,3
7,3
7,7
7,5
8,3
8,7
8,4
8,5
9,7
9,4
9,5
9,7
10,4
10,11
10,3
10,5
11,8
11,3
11,3
11,5
12,3
12,8
12,3
12,3
12,4
13,3
13,12
13,3
14,3
14,3
14,3
14,7
15,3
15,3
15,7
16,3
16,4
16,8
17,3
17,3
17,7
18,5
18,3
18,7
19,8
19,4
20,3
20,8
21,4
21,7
22,3
22,8
22,4
22,3
22,3
23,3
23,8
23,4
23,3
24,5
24,8
24,4
24,4
25,8
25,3
25,4
26,5
26,4
26,7
26,4
27,8
27,4
27,6
28,3
28,8
28,4
28,6
29,10
29,4
29,6
30,4
30,10
30,3
30,6
31,3
31,10
31,3
31,5
32,3
32,10
32,4
33,5
33,4
33,8
34,7
34,4
34,10
34,4
35,8
35,4
35,3
36,3
36,8
36,3
37,3
37,10
38,4
38,11
39,4
39,11
40,4
40,11
40,3
41,4
41,11
42,6
42,7
42,4
42,3
43,6
43,6
43,4
44,6
44,6
44,4
45,7
45,6
45,4
46,5
46,6
46,4
47,5
47,6
47,4
48,3
48,4
48,5
49,3
49,4
49,4
49,3
50,6
50,4
50,4
51,4
51,3
51,4
52,5
52,4
53,4
53,4
54,5
54,4
55,4
55,5
55,4
56,3
56,5
56,4
57,6
57,3
57,5
58,5
58,4
58,3
59,6
59,3
59,3
59,5
60,3
60,3
60,5
60,4
61,3
61,3
61,3
61,5
61,4
61,3
62,5
62,4
62,5
62,3
63,4
63,4
63,5
63,4
64,6
64,4
64,5
65,6
65,4
65,5
65,6
66,4
66,5
66,7
67,6
67,7
67,5
67,3
67,3
68,10
68,9
68,3
69,9
69,10
69,3
69,3
70,9
70,5
70,4
70,5
71,6
71,4
71,3
71,5
72,4
72,4
72,4
72,7
73,4
73,4
73,7
73,3
74,3
74,4
74,10
75,4
75,4
75,10
76,4
76,4
76,9
77,4
77,4
77,10
78,4
78,9
78,4
78,3
79,4
79,6
79,4
80,4
80,4
80,4
80,3
81,4
81,4
81,4
82,4
82,5
82,4
83,4
83,4
83,4
83,4
